Pregunta,Respuesta
¿Quiénes pueden aplicar al proceso de admisión a la educación superior?,"Todos los bachilleres a nivel nacional y estudiantes que se encuentran en tercero de bachillerato, que deseen acceder a la educación superior pública."
"Al culminar con la inscripción en la etapa de Registro Nacional no imprimí el comprobante, ¿qué puedo hacer?","La Senescyt remite a todas las Universidades y Escuelas Politécnicas públicas con proceso de admisión propio, la información de los aspirantes que realizaron el Registro Nacional."
¿Cuáles son los pasos para aplicar al proceso de admisión para acceder a las Universidades Públicas?,"De acuerdo al Art. 15 del Reglamento del Sistema Nacional de Nivelación y Admisión las etapas del proceso de admisión a la Educación Superior son: Registro Nacional; Levantamiento de Estado Académico; Determinación de la oferta de cupos; Inscripción; Evaluación de Capacidades y Competencias; Postulación; Asignación de Cupos; Aceptación de Cupos; y, Matriculación. Todas las etapas son de cumplimiento obligatorio, los numerales 1, 4, 5, 6, 8 y 9 forman parte de la gestión del aspirante."
¿A qué plataformas debo acceder para realizar el proceso de admisión a la Educación Superior?,"La etapa 1 Registro Nacional la deberá realizar obligatoriamente, este es el único mecanismo que te habilita para aplicar al proceso de admisión vigente: https://www.registrounicoedusup.gob.ec Las etapas 4, 5 y 6 las deberá cumplir de acuerdo al cronograma publicado en la web institucional de la Universidad Estatal de Milagro https://admisiongrado.unemi.edu.ec/ , no podrá ingresar antes, ni después de las fechas establecidas dentro de cada etapa del proceso. La aceptación de cupos deberá ser ejecutado en la plataforma de la Senescyt, para lo cual deberá estar pendiente de las publicaciones en las páginas web de la Senescyt, UNEMI y demás fuentes oficiales de la Educación Superior. La matriculación en la nivelación deberá ser realizada en la plataforma que la Universidad determine para esta etapa."
¿Qué pasos debo realizar en el Registro Nacional?,"Si desea participar en el proceso de admisión a la educación superior pública del Ecuador, deberás realizar obligatoriamente los siguientes pasos en la etapa de Registro Nacional: Creación de cuenta, en caso de no tener, de lo contrario debe ingresar con su contraseña anterior. Registrar los datos solicitados. Confirmación del registro. Generación del Comprobante del Registro Nacional."
¿Cómo puedo recuperar la contraseña en el proceso de acceso a la educación superior (etapa con la Senescyt)?,Acceda a la página https://www.registrounicoedusup.gob.ec/ en la etiqueta Registro Nacional te aparecerá la opción “¿Has olvidado tu contraseña?” mediante la que podrás recuperar tu contraseña.
¿Cómo puedo actualizar el correo electrónico ingresado en la página https://www.registrounicoedusup.gob.ec/?,"Acceda a la página https://www.registrounicoedusup.gob.ec/ en la etiqueta Registro Nacional te aparecerá la opción “¿Has olvidado tu contraseña?” visualizarás un link donde podrás solicitar la actualización del correo electrónico, y en el transcurso de las 48 horas siguientes se reflejará el cambio solicitado. También tiene la opción de contactar a la Senescyt para los trámites relacionados a su plataforma."
¿Dónde puedo obtener el certificado de la etapa de Registro Nacional?,El certificado lo puede imprimir accediendo con su usuario y contraseña a https://certificados.senescyt.gob.ec/ .
¿Qué es la Encuesta del Registro Social?,"Es un catastro que consta de información social, económica y demográfica individualizada y a nivel de familias, que permite a las instituciones identificar a sus poblaciones objetivo para enfocar mejor los esfuerzos hacia los grupos en condiciones de pobreza. Quienes no tengan información en el Registro Social serán informados, mediante un correo electrónico por la Senescyt para llenar el formulario. Esta información no es obligatoria."
"No me ha llegado el correo para llenar la Encuesta de Registro Social, ¿qué puedo hacer?","El correo con la información para llenar la Encuesta de Registro Social les llegará únicamente a las personas que, en la confirmación de Registro Nacional, se les informó que no cuentan con los datos registrados en la Unidad de Registro Social."
¿Cómo puedo actualizar la información que está en el Registro Social?,"Si ya cuenta con datos en el Registro Social, podrá actualizar la información posteriormente. Las fechas para realizar este proceso serán publicadas en los canales oficiales de la Senescyt: https://siau.senescyt.gob.ec/canales-de-informacion/"
¿Dónde puedo obtener información sobre los pasos posteriores al Registro Nacional?,"La información y cronograma de las etapas de inscripción, evaluación, postulación y aceptación de cupos las podrá observar en la página oficial de la UNEMI https://www.unemi.edu.ec/ , ingresando al apartado de Admisión https://www.unemi.edu.ec/admision/ donde encontrará la etiqueta del período del proceso de Admisión de la Universidad Estatal de Milagro en vigencia. Cabe indicar que las indicaciones de cada etapa de la admisión a la educación superior, se publica en los canales oficiales institucionales mediante claquetas informativas: Facebook, Instagram, X, Youtube y LinkedIn donde nos encontrará como /UNEMIEcuador. En el actual período los aspirantes llevan a cabo el proceso de admisión a la institución en la plataforma https://admisiongrado.unemi.edu.ec/"
¿Cómo me registro en la etapa de Inscripción para el proceso de admisión en la UNEMI?,"El Art. 18 del Reglamento de Admisión y Nivelación de la Universidad Estatal de Milagro, establece: “Los aspirantes interesados en estudiar en la Universidad Estatal de Milagro, deberán realizar el proceso de inscripción en la plataforma informática institucional, de acuerdo con los mecanismos, lineamientos y cronogramas establecidos para el efecto. En esta etapa solo podrán participar los aspirantes que hayan realizado el registro nacional, en la plataforma informática del Sistema Nacional de Nivelación y Admisión. Una vez finalizada el registro en la plataforma informática de la universidad, los estudiantes podrán descargar así mismo su respectivo certificado de inscripción” Como lo establece la norma citada, para acceder a la etapa de inscripción previamente debió realizar el Registro Nacional del mismo período, y para conocer las fechas en que debe realizar el proceso de inscripción deberá estar pendiente de la página de la UNEMI https://admisiongrado.unemi.edu.ec/ y publicaciones de los canales oficiales de la institución. En esta etapa el aspirante deberá ingresar al link de Inscripción habilitada, donde se le solicitará información como número de cédula, nombres y apellidos completos, correo electrónico vigente y contacto telefónico, luego deberá seleccionar hasta tres (3) opciones de carrera, leer y aceptar los términos y condiciones, posterior ingresar con su usuario (cédula) y clave que se le proporciona e ingresar al sitio: https://admisiongrado.unemi.edu.ec/app/autenticacion/login para proceder a generar el comprobante de inscripción."
"¿En la UNEMI, en qué momento efectúo el paso de postulación a una carrera?",En la etapa de inscripción los aspirantes podrán escoger las opciones de carrera de acuerdo con los cupos disponibles en la oferta académica de la UNEMI.
¿Existe una sanción si me inscribí en el proceso de Admisión a la Educación Superior pero no me presenté a rendir la evaluación de capacidades y competencias de la Universidad Estatal de Milagro?,"No existe ninguna sanción por no presentarse a rendir la evaluación de capacidades y competencias; sin embargo, el sistema le notificará la nota de cero (0) en la plataforma, y le realizará el cálculo de su puntaje final de postulación sólo con su puntaje de antecedentes académicos y el puntaje adicional (si ese fuere su caso) basado en el marco de las políticas de acción afirmativa."
¿Cómo realizo el cálculo del puntaje de postulación?,"De conformidad con el artículo 24 del Reglamento de Admisión y Nivelación de la UNEMI, el puntaje de postulación tiene los siguientes componentes: a) Puntaje de evaluación de capacidades y competencias (entre 50% y el 75%); b) Puntaje de antecedentes académicos, corresponde a la nota de grado más alta del bachillerato (entre el 25% y el 50%); y, c) Puntaje adicional por acciones afirmativas en caso de que corresponda. Los aspirantes que no cuenten con la información referente a sus antecedentes académicos y que realizaron los procesos de homologación del título de bachiller con el Ministerio de Educación, el puntaje de postulación estará determinado por la totalidad del puntaje de evaluación más el puntaje adicional por 7políticas de acción afirmativa, en los casos que corresponda.” En el período actual para ingresar a la institución la nota de la Evaluación de Capacidades y Competencias equivale al 50%; y los antecedentes académicos, es decir la nota de grado equivale al 50% del puntaje final de postulación. Cabe indicar que, esta ponderación podrá variar de un período a otro."
¿En qué consiste el puntaje adicional por acciones afirmativas?,"Las políticas de acción afirmativa al que se hace referencia en la pregunta que antecede, obedece a un sistema de educación superior inclusivo, donde toda la ciudadanía tiene la oportunidad de ingresar a un tercer nivel de estudios, independientemente de su origen o condición."
